frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.554543e+00;2.939912e+00;1.123004e+01;-4.815645e+00;-1.083942e+01;2.176466e+00;1.775128e+01;-4.540315e+00;-7.412383e+00;-1.402806e+00;-2.145060e+00;-3.295922e+00;-8.758111e+00;-2.927681e+00
1;0.050000;-7.274580e-01;-2.992180e+00;1.057876e+01;-4.109434e+00;-7.661851e+00;1.486553e+00;1.606746e+01;1.767898e-01;-3.589115e-01;4.482726e+00;-4.411565e+00;-2.030236e+00;-6.263010e+00;3.433853e+00
2;0.100000;-2.176912e+00;-8.805476e+00;4.017874e+00;-4.375452e+00;-3.718501e+00;3.064370e+00;8.703531e+00;2.328015e+00;-2.231836e-01;6.431524e+00;-6.379546e+00;-3.814840e-02;-4.567505e+00;7.246254e+00
3;0.150000;-3.652679e+00;-1.271990e+01;-1.226278e+00;-1.232073e+00;3.825030e-01;4.597399e+00;-1.833582e-01;2.717236e+00;-1.187660e+00;2.171993e+00;-5.377672e+00;3.779840e-02;-3.159481e+00;8.004051e+00
4;0.200000;-4.221063e+00;-1.318443e+01;-2.793279e+00;5.086008e+00;5.291677e+00;8.402444e+00;-3.711705e+00;2.103203e+00;-1.965170e+00;-4.130578e+00;-1.219284e+00;-7.382488e-02;-5.358992e-01;6.490837e+00
5;0.250000;-3.041495e+00;-8.894254e+00;-3.109852e+00;8.430861e+00;5.409848e+00;7.498942e+00;-2.478326e+00;2.356987e-01;9.748812e-01;-5.801489e+00;2.572559e+00;7.808654e-01;4.094455e-01;3.563370e+00
6;0.300000;-2.466994e+00;2.495030e+00;-5.502234e+00;1.016940e+01;1.239278e+00;1.956985e+00;9.635916e-01;-4.748450e+00;2.344434e+00;-7.108524e+00;2.015998e+00;1.201081e+00;-2.619479e-01;3.547668e-02
7;0.350000;-4.231237e+00;8.018791e+00;-6.783570e+00;1.000656e+01;-2.348765e+00;-1.009017e+00;2.117723e+00;-6.457348e+00;5.129786e-01;-8.018044e+00;2.750491e+00;-5.056711e-01;-3.013565e+00;-1.198036e+00
8;0.400000;-3.447909e+00;6.411522e+00;-8.594289e+00;1.015545e+01;-9.294481e-01;1.602358e+00;5.721122e+00;-2.979534e+00;2.617584e+00;-7.638127e+00;2.780727e+00;-1.278248e+00;-8.398042e-01;-4.425735e-01
9;0.450000;-8.810225e-01;-1.715582e+00;-6.463954e+00;8.915209e+00;1.179239e+00;3.287394e+00;8.434400e+00;1.175595e+00;-4.371977e-01;-4.902755e+00;-3.462572e-01;2.554386e-01;4.298909e+00;3.279495e+00
10;0.500000;-3.951249e-01;-5.655210e+00;-4.539582e+00;6.893603e+00;2.803273e+00;4.530277e+00;5.653231e+00;2.871815e+00;-4.676686e+00;-3.132650e+00;-3.649749e+00;1.981186e+00;3.071664e+00;5.081543e+00
11;0.550000;-1.134027e+00;-5.635529e+00;-4.451684e+00;5.119359e+00;4.656849e+00;2.870235e+00;2.462974e+00;-4.307990e-01;-5.045465e+00;-3.826929e+00;-4.733711e+00;1.801445e+00;-6.090426e-02;3.835831e+00
12;0.600000;-1.143653e+00;-1.602620e+00;-4.952195e+00;-1.976105e+00;7.916604e+00;-1.241145e+00;-2.149768e+00;-1.674301e+00;-4.344100e+00;2.510855e-01;-6.186680e+00;2.793681e+00;-5.289233e+00;5.670013e-01
