frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.501560e+01;6.633748e+00;-5.980387e+00;1.402316e+01;4.318534e+00;1.870094e+00;5.966330e+00;-8.026472e-01;9.173777e+00;5.198961e+00;6.999934e+00;1.487463e+00;4.244857e+00;-3.539497e+00
1;0.050000;-1.169640e+01;1.131285e+01;-1.190962e+00;1.371258e+01;-6.326007e+00;-3.006292e+00;9.550142e-01;-3.900416e+00;2.239646e+00;-3.569154e+00;7.349149e+00;1.693097e+00;1.794760e+00;-1.079102e+00
2;0.100000;-7.314092e+00;1.015020e+01;-1.349609e+00;1.301135e+01;-1.048633e+01;-4.322077e+00;2.662439e+00;-1.352896e+00;1.635976e-01;-8.373173e+00;8.827757e+00;2.413477e+00;-9.091346e-01;1.177956e+00
3;0.150000;-2.957286e+00;4.147870e+00;-4.228506e+00;1.131008e+01;-2.315411e+00;-6.571302e-01;3.599827e+00;-8.243873e-01;-2.387346e+00;-7.337135e+00;8.662391e+00;1.116876e+00;-2.085426e-01;2.344383e+00
4;0.200000;-1.332211e+00;-3.690410e+00;-4.206081e+00;4.074238e+00;8.113880e+00;-3.799915e-01;7.365954e+00;4.801788e+00;-4.062356e+00;-4.575464e+00;3.221768e+00;6.929437e-01;5.428123e-02;5.779060e+00
5;0.250000;-1.497462e+00;-5.944617e+00;-2.885530e+00;3.381429e+00;4.802098e+00;-1.145277e+00;9.906192e+00;5.458758e+00;-1.359173e+00;-3.565057e+00;3.873600e+00;1.453843e+00;-2.056342e+00;9.582962e+00
6;0.300000;-1.242765e+00;-6.399505e+00;-5.813503e-01;3.977688e+00;9.464774e-01;-1.108607e+00;9.291185e+00;4.982852e+00;1.325572e+00;-3.238231e+00;6.021603e+00;1.799715e+00;-2.975630e+00;9.522987e+00
7;0.350000;-7.222443e-01;-5.742224e+00;2.119453e+00;5.516640e+00;-3.410676e+00;-1.238274e+00;5.269499e+00;4.161747e+00;4.431207e+00;-3.630306e+00;8.520483e+00;1.112004e-01;-3.306762e+00;5.023209e+00
8;0.400000;7.076683e-01;-1.854393e+00;1.911993e-01;4.526411e+00;1.316581e-01;-5.284924e+00;-6.653467e+00;1.714575e+00;3.836853e+00;4.862447e+00;9.873338e-01;-1.064596e+01;3.480764e+00;2.959267e+00
9;0.450000;8.103724e-01;-4.218951e+00;-9.547405e-01;-1.727805e+00;2.938284e+00;-5.149277e+00;-5.758357e+00;2.324664e+00;6.070649e+00;7.404202e+00;-2.814815e+00;-1.050773e+01;2.290901e+00;7.254677e+00
