frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.757753e+00;-5.332187e+00;3.436410e+00;-1.569455e+00;-7.322140e-01;-4.892842e+00;3.714837e+00;5.889988e-02;-5.212918e+00;9.228323e+00;-2.895824e+00;-1.209772e+00;-2.588644e+00;-3.941269e-01
1;0.050000;-4.659053e+00;-5.031087e+00;6.994568e+00;-2.825762e+00;-6.779137e-01;-2.320247e+00;8.349081e+00;-2.479343e-01;-2.380652e+00;7.651765e+00;-4.133813e+00;-3.743449e+00;-2.199688e+00;2.754250e+00
2;0.100000;-5.535861e+00;-3.150479e+00;8.185028e+00;-1.742688e+00;-1.906852e+00;-1.458731e+00;6.551344e+00;-1.561280e+00;-1.789933e+00;4.298071e+00;-6.235753e+00;-5.747929e+00;-3.986041e+00;4.977081e+00
3;0.150000;-4.542319e+00;1.421851e+00;1.137184e+01;4.235935e-02;-1.832388e+00;2.439594e-01;3.883476e+00;-3.536282e+00;-2.058928e+00;2.473464e+00;-5.170720e+00;-5.123591e+00;-2.732142e+00;3.683411e+00
4;0.200000;-3.756721e+00;4.680320e+00;1.479880e+01;-6.755688e-01;-3.185282e+00;-8.350401e-01;5.007296e-01;-2.490445e+00;-4.212276e+00;3.418308e+00;-8.343172e-01;-5.037328e+00;-2.387325e+00;1.289017e+00
5;0.250000;-1.144973e+00;-1.979342e-01;8.817565e+00;-1.841841e+00;-1.459118e+00;-3.335619e-01;-2.590058e+00;-5.208466e+00;-9.679938e+00;5.896090e+00;2.147992e+00;-3.098849e+00;-3.106629e+00;1.412544e+00
6;0.300000;2.197993e+00;-2.262913e+00;-5.117289e-01;-1.179213e+00;-2.342172e+00;2.027531e-01;-3.277318e+00;-6.568021e+00;-1.237810e+01;6.170609e+00;-6.614727e-01;-3.619651e+00;-7.621150e-01;-2.610855e-01
7;0.350000;5.459187e+00;5.165904e-01;-7.574813e+00;3.910796e+00;-1.563559e-01;-3.962415e+00;1.029649e+00;-8.351335e+00;-1.150528e+01;7.388295e+00;-8.079618e+00;-3.030103e+00;3.152901e+00;-2.650536e+00
8;0.400000;5.339051e+00;1.887016e+00;-9.201491e+00;6.992342e+00;8.642864e-02;-2.557787e+00;2.930198e+00;-5.461271e+00;-8.955213e+00;3.272605e+00;-9.129990e+00;-1.167571e+00;3.351983e+00;-3.511337e+00
9;0.450000;5.913267e+00;2.773506e+00;-1.067903e+01;7.195098e+00;-1.200500e+00;8.069801e-02;1.353856e+00;-2.693451e+00;-7.658303e+00;-2.042886e+00;-8.259534e+00;-2.795728e+00;1.816080e+00;-4.172569e+00
10;0.500000;5.205616e+00;1.566405e+00;-9.135192e+00;6.762301e+00;5.785847e-02;-8.454037e-01;1.178751e-01;-4.237086e+00;-5.356286e+00;-3.809796e+00;-1.078474e+01;-5.418247e+00;1.915479e+00;-5.480042e+00
11;0.550000;2.191281e+00;-2.765858e-01;-1.683630e+00;6.279383e+00;3.471096e+00;1.484114e+00;-8.565481e+00;-1.371221e+00;2.471111e+00;-5.350175e+00;-1.084043e+01;1.751129e+00;-1.531602e+00;-3.157913e+00
12;0.600000;-4.762688e-01;-1.285423e+00;4.788863e+00;2.560408e+00;2.646332e+00;3.557799e+00;-1.051102e+01;4.666741e+00;2.830504e+00;-6.624599e+00;-8.718139e+00;6.218408e+00;-1.985683e+00;3.491669e-01
13;0.650000;-2.569845e+00;-1.543185e+00;6.476901e+00;4.107261e-01;1.590770e+00;4.766346e+00;-7.243129e+00;8.167944e+00;1.884074e+00;-7.200397e+00;-5.763932e+00;7.268730e+00;-2.153901e+00;1.132568e+00
14;0.700000;-3.236169e+00;-9.222577e-01;7.284407e+00;7.588291e-02;1.684867e+00;4.606887e+00;-4.901738e+00;9.892170e+00;1.727308e+00;-6.753942e+00;-3.385925e+00;6.806739e+00;-2.508697e+00;-1.597008e+00
15;0.750000;-2.125929e+00;3.243904e-01;8.780476e+00;2.005139e+00;8.007002e-01;-1.992735e+00;2.048018e+00;1.029750e+01;2.411100e+00;-3.553019e+00;1.804538e+00;2.803606e+00;-2.440762e+00;-6.251495e+00
16;0.800000;-2.254684e+00;-1.618895e+00;7.515809e+00;1.213043e-01;-4.202685e+00;-8.277558e+00;4.666458e+00;5.286029e+00;1.350782e+00;-2.873811e+00;4.785638e+00;2.702491e+00;-1.049727e+00;-8.078766e-02
17;0.850000;-1.040096e+00;-2.457537e+00;8.524630e+00;1.729712e-01;-7.592859e+00;-9.239474e+00;3.978184e+00;2.931060e+00;3.766308e-01;-2.525816e+00;4.177590e+00;2.330920e+00;-3.802962e-01;3.109009e+00
18;0.900000;7.195082e-01;-3.063174e+00;9.839036e+00;2.276916e+00;-8.989586e+00;-6.696935e+00;3.569371e+00;3.534061e+00;1.076965e+00;-5.407472e-01;3.652655e+00;3.417223e+00;1.719894e+00;2.628548e+00
19;0.950000;4.620123e-01;-1.535352e+00;9.450711e+00;5.784332e+00;-8.039568e+00;-2.180039e+00;1.680346e+00;6.423990e+00;3.752197e+00;1.342428e+00;3.479865e+00;3.677829e+00;4.734115e+00;3.403702e-01
20;1.000000;-1.239253e+00;6.313078e-01;2.821866e+00;4.461376e+00;-3.707838e+00;2.303671e+00;2.863704e+00;9.127373e+00;5.576189e+00;7.384126e-01;3.771465e+00;2.920873e+00;6.005617e+00;-1.881905e+00
21;1.050000;6.892834e-01;1.436758e-01;-7.951208e+00;-4.392915e+00;-3.940250e+00;3.153565e+00;-1.876860e-01;7.369871e+00;2.337579e+00;-2.602644e+00;3.014249e+00;1.412310e+00;4.629270e+00;-1.056442e-01
22;1.100000;4.291844e+00;-1.380044e+00;-1.107151e+01;-6.367011e+00;-2.884511e+00;4.845230e+00;-3.943676e+00;3.033734e+00;2.576863e+00;5.237255e-01;3.715054e+00;-1.157641e+00;2.870420e+00;1.117424e+00
23;1.150000;7.441370e+00;-6.514967e+00;-8.393572e+00;-4.588207e+00;-4.883415e+00;5.719711e+00;-6.975036e+00;-5.811176e-01;2.898265e+00;3.378232e+00;1.904611e+00;-3.098818e+00;1.304928e+00;-5.935669e-02
24;1.200000;6.194448e+00;-7.638442e+00;-1.698298e+00;-3.711522e+00;-2.579291e+00;2.333428e+00;-5.922507e+00;-1.427274e+00;5.031958e-01;5.160245e+00;-6.431268e-01;-5.441378e+00;-4.799604e-02;-1.335205e+00
25;1.250000;-1.782367e+00;3.481912e+00;-2.215156e+00;1.675529e+00;-4.492292e-01;6.512356e-01;3.638854e-01;-4.242754e+00;2.524319e+00;2.339594e+00;8.677384e-01;-5.041258e+00;-1.411198e+00;-1.611542e+00
26;1.300000;-1.095600e+01;8.589492e+00;-7.938036e-01;5.785238e+00;2.856283e+00;-5.922356e-01;2.740294e+00;1.130293e+00;2.675795e+00;-2.957543e+00;2.294724e+00;-1.363600e-01;-3.373756e+00;-2.006226e+00
27;1.350000;-1.455520e+01;6.478778e+00;-1.169969e+00;4.238935e+00;-5.474596e-01;-5.650985e+00;1.272294e+00;2.104831e+00;1.564222e+00;-3.819921e+00;3.367171e+00;4.834608e+00;5.510330e-02;-3.821793e-01
28;1.400000;-9.878282e+00;5.513711e+00;-3.225234e+00;1.707184e-01;-2.149343e+00;-1.072760e+01;-4.583190e+00;-2.455728e+00;-2.094378e+00;-3.370366e+00;1.576269e+00;3.799388e+00;-4.724455e-02;3.276093e+00
29;1.450000;-4.733232e+00;3.994612e+00;-5.126912e+00;-2.989447e+00;-1.382656e-01;-9.290578e+00;-4.815239e+00;-5.092965e+00;-4.982194e+00;-2.134841e+00;8.742007e-01;2.733655e+00;-4.747963e-02;3.912506e+00
30;1.500000;1.216818e+00;3.366440e+00;-5.087241e+00;-3.078974e+00;4.619325e+00;-3.953990e+00;-2.268948e+00;-6.778794e+00;-1.458089e+00;-6.682591e-01;3.741074e+00;1.945334e+00;1.690032e+00;1.212898e+00
31;1.550000;-4.645824e-01;2.379338e+00;-1.076426e+00;1.419532e+00;1.062000e+01;-2.156608e+00;3.152275e-02;-6.321149e+00;8.957809e+00;-4.507842e+00;8.668432e+00;2.028642e+00;1.007098e+00;9.473572e-01
32;1.600000;-3.982785e+00;1.173814e+00;1.785536e+00;4.521604e+00;1.373851e+01;-6.520319e-01;1.493513e+00;-4.111554e+00;1.145028e+01;-4.148330e+00;6.592118e+00;1.996987e+00;1.046902e+00;1.074875e+00
