frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.207865e+00;-6.949946e+00;-1.524163e+01;5.919860e+00;3.074530e+00;3.446690e+00;1.361873e+00;2.879890e+00;-2.024351e+00;-5.813128e+00;-4.944461e+00;2.971518e+00;2.105417e+00;1.503555e+00
1;0.050000;5.851426e+00;-8.276866e+00;-1.174754e+01;2.791616e+00;4.064559e+00;8.922496e+00;-3.406652e+00;4.931424e+00;-2.554984e-01;-1.550839e+00;-3.607309e+00;-3.525808e-01;-2.896166e-01;-2.598877e-01
2;0.100000;6.163957e+00;-4.383172e+00;-6.441966e+00;7.949357e-01;8.197477e+00;1.422861e+01;-8.026594e+00;6.643126e+00;3.915484e+00;4.697440e+00;-1.973219e+00;-7.841065e-01;1.193959e+00;4.952393e-01
3;0.150000;5.782730e+00;-2.308642e+00;-4.751704e+00;1.605879e+00;1.166795e+01;9.910580e+00;-8.007223e+00;9.544744e+00;9.117484e+00;5.355495e+00;-2.123477e+00;2.281107e+00;3.185126e+00;1.794716e+00
4;0.200000;4.403988e+00;-3.014274e+00;-6.220137e+00;1.757312e-01;1.361124e+01;4.238653e+00;-5.657127e+00;1.393841e+01;1.221454e+01;3.536799e+00;-2.518433e+00;3.407782e+00;1.583931e+00;2.936111e+00
5;0.250000;3.242992e+00;-4.933664e+00;-8.257162e+00;-2.767942e+00;1.098637e+01;2.052739e+00;-7.728085e+00;1.340714e+01;1.041569e+01;2.446250e+00;-4.165582e+00;1.435715e+00;5.149403e-01;3.185936e+00
6;0.300000;4.116478e+00;-5.118401e+00;-8.437162e+00;-3.864360e+00;8.476157e+00;7.447882e-01;-1.131243e+01;9.349832e+00;5.882749e+00;3.273738e-01;-7.512509e+00;-2.455235e+00;-6.122069e-01;7.952499e-01
7;0.350000;6.829583e+00;-4.367589e+00;-5.920218e+00;-4.120030e+00;7.119345e+00;2.505634e+00;-9.930538e+00;5.609118e+00;1.564750e+00;1.114664e+00;-4.779946e+00;-5.176448e+00;-2.091240e+00;-3.243294e+00
8;0.400000;6.424295e+00;-9.550199e+00;-1.302635e+00;-2.252687e+00;1.605906e+00;2.940569e+00;-5.341497e+00;3.350570e+00;-4.430714e+00;4.744301e+00;-3.524902e+00;-6.999476e+00;-4.105760e+00;-2.458664e+00
9;0.450000;4.478058e+00;-1.133780e+01;3.552272e+00;-2.807550e-01;-3.454837e+00;3.490733e+00;-5.162693e+00;3.575487e+00;-6.733148e+00;9.276348e+00;-4.551526e+00;-4.500385e+00;-3.676277e+00;-1.010803e+00
10;0.500000;1.384513e+00;-6.615482e+00;6.905781e+00;-3.370800e-01;-4.707671e+00;-3.047795e-01;1.104802e+00;-2.290539e+00;-7.870603e-01;7.902605e+00;-1.010208e+00;-7.920084e-01;-3.069344e+00;-8.490067e-01
11;0.550000;-4.565823e+00;4.998091e+00;3.735982e+00;3.656669e-01;-3.395666e+00;-7.609115e-01;9.091394e+00;-9.268585e+00;5.807518e+00;2.971998e+00;2.050775e+00;-6.037118e-01;-2.806835e-01;-1.138947e+00
12;0.600000;-1.046430e+01;1.441909e+01;-5.331936e-01;-8.101954e-01;3.610137e+00;-2.101768e+00;1.057684e+01;-7.225439e+00;3.836344e+00;2.753603e+00;3.424834e+00;-2.379927e+00;1.107225e-01;-1.290031e+00
13;0.650000;-1.359083e+01;1.661377e+01;2.078512e+00;4.330721e-01;6.376325e+00;-1.529039e+00;1.424272e+01;-2.957771e+00;1.885042e+00;6.354960e+00;8.849037e+00;-1.497358e+00;2.567096e-01;-1.909637e-01
14;0.700000;-1.287344e+01;1.669857e+01;6.304349e+00;2.115812e+00;5.909503e+00;-1.788762e+00;1.436563e+01;-1.731770e+00;4.264205e-01;7.050968e+00;9.020736e+00;-2.805269e-01;3.072042e+00;6.349182e-01
15;0.750000;-9.450177e+00;1.513013e+01;9.355913e+00;2.862564e+00;2.775788e+00;-4.395607e+00;1.237939e+01;-1.883345e+00;-2.450233e+00;5.518413e+00;8.452812e+00;6.044033e-01;3.884486e+00;-1.179047e-01
16;0.800000;-3.955324e+00;1.027166e+01;9.833548e+00;4.087455e+00;8.768013e-01;-7.739239e+00;6.217785e+00;-3.676391e+00;-2.007722e+00;5.469848e+00;8.198792e+00;1.525802e+00;2.995051e+00;-2.829620e+00
17;0.850000;2.799765e+00;5.347710e+00;4.103783e+00;1.868997e+00;1.816540e+00;-6.166910e+00;-2.395134e-01;-6.957970e+00;1.163206e-01;4.641196e+00;1.041324e+01;1.225316e+00;2.051631e+00;-5.899536e+00
18;0.900000;4.915260e+00;6.415615e+00;2.100544e+00;-3.994344e+00;4.915059e+00;-2.044918e+00;-4.983582e+00;-9.818253e+00;1.686370e+00;4.419358e+00;8.278510e+00;4.575347e+00;-1.267149e+00;-6.574600e+00
19;0.950000;-2.124659e+00;6.718729e+00;8.998644e+00;-6.409482e+00;5.992161e+00;-2.936573e-01;-5.954819e+00;-9.133427e+00;3.052136e+00;3.066905e+00;4.327287e+00;8.220351e+00;-3.242470e+00;-3.290665e+00
20;1.000000;-7.465705e+00;5.883145e+00;1.214397e+01;-4.777378e+00;4.553530e+00;-2.053889e+00;-5.022722e+00;-7.304873e+00;1.142522e+00;-1.096693e+00;1.183300e+00;7.018776e+00;-1.227956e-01;-1.267014e+00
21;1.050000;-6.720412e+00;3.801770e+00;1.002145e+01;-4.523791e+00;2.282147e+00;-3.965244e+00;-3.222422e+00;-5.511777e+00;-2.390528e+00;-5.315400e+00;-3.686056e-01;5.748927e+00;1.448179e+00;-1.051712e-01
22;1.100000;-2.942106e+00;-3.686835e+00;1.641693e-01;-6.661749e-02;-1.453822e-01;-4.284781e+00;1.265759e+00;1.168380e-01;-3.145236e+00;-9.388417e+00;-2.513514e+00;7.650384e-01;2.419673e+00;2.057663e+00
23;1.150000;-2.080467e+00;-7.477949e+00;-4.249233e+00;1.389158e+00;-4.054511e+00;-2.863771e+00;2.814766e+00;2.524344e+00;-4.278718e+00;-1.260886e+01;-3.072052e+00;-2.949718e+00;3.120656e+00;4.663162e+00
24;1.200000;-1.841673e+00;-7.789507e+00;-3.931557e+00;8.730612e-01;-5.674366e+00;-3.185283e+00;2.359744e+00;1.912607e+00;-5.966839e+00;-1.438218e+01;-3.826941e+00;-3.202091e+00;2.381618e+00;4.726295e+00
25;1.250000;-1.253750e+00;-5.545676e+00;-3.554606e+00;1.132360e-01;-7.007959e+00;-3.707877e+00;3.080456e+00;1.587129e+00;-5.643017e+00;-1.298504e+01;-2.360364e+00;-2.203834e+00;2.675581e+00;2.149139e+00
26;1.300000;1.974373e+00;-6.611307e+00;-6.473690e+00;-7.655220e-01;-6.311025e+00;-1.017627e+00;4.940891e-02;-5.607915e-01;4.953828e-01;-9.419581e+00;-4.114010e+00;-1.801083e+00;3.456061e+00;2.359550e+00
27;1.350000;3.966769e+00;-7.736790e+00;-5.896679e+00;8.660803e-01;-7.756410e+00;2.159900e+00;-1.952544e+00;1.068521e-02;1.061360e+00;-8.398074e+00;-6.570112e+00;-2.279322e+00;5.431395e-01;3.493797e+00
28;1.400000;3.113301e+00;-3.785797e+00;-6.148408e+00;4.426108e+00;-8.315991e+00;2.590064e+00;-9.362278e-01;4.353175e-01;1.141425e+00;-7.840135e+00;-6.048156e+00;-2.614100e+00;-8.817940e-01;2.303932e+00
29;1.450000;1.716864e+00;3.009128e+00;-2.652711e+00;6.147786e+00;-1.110029e+01;-3.087086e+00;1.767876e+00;-3.108277e-01;-1.657455e+00;-5.226354e+00;1.209078e-01;-1.550593e+00;-3.168615e+00;-8.763123e-02
30;1.500000;1.448589e+00;2.139418e+00;3.711158e+00;2.560079e+00;-1.543075e+01;-3.842788e+00;2.858735e+00;-4.474925e+00;-5.280535e+00;-2.606677e-01;4.639722e+00;-4.619999e-01;-5.027976e+00;3.177643e-01
