frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-4.295082e+00;4.132001e+00;2.432014e+00;-1.303545e+00;1.826652e+00;-4.843947e+00;-1.535686e+00;-6.926070e+00;4.734421e-01;1.168371e+00;-5.826631e+00;5.423975e+00;-3.735225e+00;1.514267e+00
1;0.050000;-3.963642e-01;5.018692e-01;4.327679e-01;4.367056e-01;8.990774e-01;-2.821502e+00;-1.776080e+00;-3.422395e+00;2.639920e+00;-1.115904e+00;-5.603345e+00;3.958317e+00;-3.958796e+00;1.505577e+00
2;0.100000;1.795362e+00;-4.239380e+00;6.384001e-01;3.964559e+00;-3.919211e+00;2.634442e+00;-3.402970e+00;5.023078e+00;4.689176e+00;-5.137249e+00;-2.664478e+00;3.598594e+00;-4.626134e+00;4.764938e-01
3;0.150000;1.789394e+00;-4.519568e+00;3.283216e+00;5.523268e+00;-5.833145e+00;2.634254e+00;-2.036072e+00;7.101074e+00;7.285011e+00;-5.619976e+00;-4.527607e-01;4.677329e+00;-2.116110e+00;-3.738480e-01
4;0.200000;2.913095e+00;-7.058930e+00;1.137725e+00;3.918099e+00;-3.476677e+00;-5.931924e+00;-4.028272e+00;3.765818e+00;6.675423e+00;-4.047534e+00;3.572750e-02;2.408144e+00;2.967171e+00;1.900528e+00
5;0.250000;4.135227e+00;-7.665731e+00;-3.384705e-01;2.907405e+00;-1.871684e+00;-6.286003e+00;-3.943791e+00;5.357172e+00;5.957835e+00;-2.353429e+00;4.761162e-01;6.409252e-01;4.728154e+00;4.099785e+00
6;0.300000;2.214507e+00;-3.414703e+00;-4.067544e+00;4.898108e+00;-1.261899e+00;-4.836335e+00;-2.416439e+00;6.242718e+00;6.847784e+00;6.346798e-02;-5.184917e-01;1.992061e+00;4.339579e+00;3.903625e+00
7;0.350000;-2.767095e+00;2.598350e+00;-3.824746e+00;4.961104e+00;2.286539e-01;-2.559960e+00;8.709974e-01;5.080674e+00;9.742524e+00;1.112316e+00;-2.371043e+00;5.871357e+00;2.965802e+00;1.634529e+00
8;0.400000;-7.731991e+00;3.175165e+00;5.621037e+00;8.045006e+00;-2.367597e-01;2.430884e+00;8.154220e+00;5.776372e+00;4.087307e+00;-1.395769e+00;1.115805e+00;8.240774e+00;-1.175829e+00;-6.948853e-02
9;0.450000;-7.314323e+00;-3.001926e+00;6.980525e+00;8.509508e+00;2.373471e+00;5.576424e+00;1.032108e+01;6.231388e+00;7.049398e-01;-4.520622e+00;7.739062e-01;7.429303e+00;-2.234368e+00;3.148270e-01
