frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;7.211227e-01;-1.368244e+00;-4.398102e+00;1.606880e+01;7.414656e+00;1.729379e+01;9.734776e+00;9.359833e+00;6.513226e+00;-7.281052e+00;3.842247e+00;4.033192e+00;1.013147e+01;7.711792e+00
1;0.050000;3.352145e+00;-6.734174e+00;-1.181386e+00;1.238880e+01;8.293783e+00;1.964441e+01;6.795159e+00;1.178219e+01;5.283474e+00;-5.208301e+00;4.953859e+00;2.496833e+00;1.129502e+01;7.550827e+00
2;0.100000;5.346985e+00;-9.954344e+00;-1.014979e+00;6.713660e+00;8.007968e+00;1.919810e+01;2.756554e+00;1.390243e+01;3.747647e+00;2.101231e+00;1.563161e+00;2.565969e+00;7.025421e+00;4.164726e+00
3;0.150000;5.193822e+00;-8.358697e+00;-4.520471e+00;-2.962876e+00;6.341223e+00;1.193075e+01;-2.434531e+00;9.466976e+00;4.260664e+00;8.197079e+00;-2.586184e+00;1.352200e+00;1.074776e+00;1.453842e+00
4;0.200000;3.626110e+00;-6.674376e+00;-6.426802e+00;-6.386062e+00;5.531707e+00;2.923224e+00;-4.936193e+00;4.657207e+00;3.371999e+00;2.950315e+00;-4.780333e+00;-7.046719e-01;-1.347494e-02;5.620193e-01
5;0.250000;3.756058e+00;-3.683326e+00;-6.818124e+00;-7.325430e+00;6.405081e+00;-2.961655e-01;-6.518858e+00;5.593532e+00;2.155682e+00;-1.802781e+00;-4.656213e+00;-2.903891e+00;-7.216187e-01;-8.361053e-02
6;0.300000;5.095362e+00;-2.898749e+00;-6.099301e+00;-7.436188e+00;5.312268e+00;8.167009e-01;-9.998625e+00;6.392484e+00;1.254697e-01;-1.300918e+00;-3.048538e+00;-4.309931e+00;6.838803e-01;-1.365799e+00
7;0.350000;7.358052e+00;-3.011680e+00;-5.267167e+00;-8.248027e+00;5.444773e+00;2.201186e+00;-1.206169e+01;1.367187e+00;-3.184041e+00;2.707699e+00;7.184215e-01;-3.434880e+00;7.290902e-01;-3.558525e+00
8;0.400000;6.095085e+00;-5.922732e+00;-2.026896e+00;-7.487364e+00;5.115507e+00;1.011652e+00;-9.900848e+00;1.027221e+00;-6.868745e+00;7.172496e+00;-2.332345e+00;-5.124197e-01;-3.459113e+00;-1.676834e+00
9;0.450000;2.713753e+00;-8.773659e+00;3.736618e+00;-5.356006e+00;7.642841e-02;-2.522240e-01;-9.708130e+00;3.019581e+00;-9.443747e+00;1.047788e+01;-5.744079e+00;-1.213044e+00;-3.502838e+00;4.075317e-01
