frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.966579e+00;1.308252e+01;-7.552272e+00;2.028561e-01;1.469097e+00;1.295546e+01;-3.456399e-01;-1.242670e+01;-2.717835e+00;-1.827536e+00;1.328305e+00;6.705637e+00;-2.832227e+00;1.860123e+00
1;0.050000;-8.626499e+00;1.108729e+01;-6.175007e+00;9.310040e+00;-2.469297e+00;5.031404e-01;1.002288e+00;-6.235274e+00;-2.856991e+00;-4.095998e+00;2.667101e+00;5.604011e+00;-7.211375e-02;1.978317e+00
2;0.100000;-7.273176e+00;5.333587e+00;-2.340801e+00;1.090362e+01;-1.035717e+01;-6.841881e+00;-4.323881e+00;-1.272947e+00;4.207691e-01;-7.291125e+00;9.302993e-01;-1.930909e-01;5.499042e-01;4.496872e+00
3;0.150000;-3.011521e+00;6.906619e-01;-2.481778e-01;9.518460e+00;-9.171324e+00;-3.913506e+00;-7.436213e+00;9.836473e-01;1.213196e+00;-4.866107e+00;2.673582e+00;-2.997834e+00;4.421256e-01;5.369652e+00
4;0.200000;1.947192e+00;-4.228935e+00;-8.088710e-01;3.827884e+00;-3.086292e+00;1.874971e+00;-7.326398e+00;4.064471e+00;2.318358e-02;7.226653e-01;3.133050e+00;-5.669347e+00;-2.955338e+00;3.527313e+00
5;0.250000;1.564917e+00;-9.392854e+00;-1.909454e+00;-5.600066e+00;3.181161e+00;1.041875e+00;-3.025784e+00;6.677628e+00;9.331228e-01;3.030401e+00;-2.864451e+00;-6.811562e+00;-8.234652e+00;3.525826e+00
6;0.300000;9.596453e-01;-1.298095e+01;2.152963e+00;-1.016816e+01;5.136283e+00;-4.234735e+00;1.051022e+00;7.547317e+00;3.050507e+00;2.147823e+00;-4.897665e+00;-5.529681e+00;-6.329689e+00;3.844429e+00
7;0.350000;1.535578e-01;-8.330920e+00;3.201692e+00;-5.842128e+00;1.616526e+00;-4.716425e+00;-3.097475e-01;8.060621e+00;2.784950e+00;-3.620887e-01;-3.721795e+00;-5.564666e+00;-1.086757e+00;2.502220e+00
8;0.400000;-1.269913e-02;-1.905338e+00;3.208397e+00;-4.015512e-01;-3.775215e-02;-2.222838e+00;-5.762589e+00;4.575449e+00;3.502226e+00;-5.675156e-01;-2.748352e+00;-6.663916e+00;3.094356e+00;2.723541e-01
9;0.450000;-2.428799e-01;-6.194515e-01;6.401904e+00;-4.124659e+00;2.606058e+00;-1.135662e+00;-8.015904e+00;-4.710460e-01;3.359558e+00;3.750039e+00;-2.124076e+00;-5.938664e+00;7.382628e+00;1.543694e+00
10;0.500000;-1.250414e+00;3.706875e-01;4.707744e+00;-4.158367e+00;2.734885e+00;-1.724072e+00;-8.231527e+00;-4.327507e+00;2.022230e+00;5.598585e+00;-2.277067e+00;-5.309821e+00;9.338352e+00;2.414711e+00
11;0.550000;-3.584549e+00;5.618134e+00;1.879482e-01;2.920544e+00;1.973047e+00;-3.001366e-01;-6.017371e+00;-4.893415e+00;4.474272e+00;5.489090e+00;-1.761952e+00;-4.362418e+00;1.073256e+01;1.296959e+00
12;0.600000;-5.179747e+00;7.446625e+00;7.978296e-02;1.275548e+01;-4.014664e-01;-5.228071e+00;-9.713616e-01;-2.111816e+00;5.949000e+00;-2.096407e+00;-2.147005e+00;5.605319e-01;7.420586e+00;-2.107086e-01
13;0.650000;-3.774035e+00;2.582115e+00;3.928513e+00;8.839616e+00;-4.768740e+00;-6.245739e+00;-1.649539e+00;2.219124e+00;4.949976e+00;-4.539406e+00;-1.207575e+00;1.596208e+00;7.886278e+00;1.989510e+00
14;0.700000;-6.009903e-01;-3.231586e+00;5.542285e+00;2.834511e-01;-4.791187e+00;-7.160986e+00;-3.057348e+00;8.541271e+00;4.126637e+00;-1.171028e+00;-4.051919e+00;-3.237290e+00;7.559662e+00;2.701614e+00
15;0.750000;1.168455e+00;-7.772766e+00;5.427606e+00;-3.525254e+00;-2.928778e+00;-5.598934e+00;-1.038371e+00;1.509782e+01;2.891259e+00;8.436999e-01;-4.086554e+00;-6.784390e+00;5.861639e+00;2.505829e+00
16;0.800000;1.921489e+00;-8.220204e+00;5.193779e+00;-1.999402e+00;-1.276201e+00;-4.231886e+00;2.100972e+00;1.860442e+01;2.361103e+00;6.239591e-01;-3.407504e+00;-5.771729e+00;3.145254e+00;6.954803e-01
17;0.850000;1.536022e+00;-4.850389e+00;-7.408390e-01;1.687210e+00;-2.418402e+00;-1.463441e+00;3.532729e+00;1.159178e+01;4.690710e+00;-7.750244e-01;-2.462328e+00;-2.779726e+00;-2.967707e+00;-9.745102e-01
18;0.900000;4.042542e+00;-7.660776e+00;-5.221658e+00;-1.604888e+00;-2.082972e+00;1.520720e+00;2.265474e+00;4.873380e+00;3.844950e+00;3.303442e-01;-2.218329e+00;-2.934909e+00;-5.618868e+00;8.657532e-01
19;0.950000;6.897654e+00;-9.101905e+00;-5.711304e+00;-7.142005e+00;2.337855e+00;1.460808e+00;2.655928e+00;7.545297e-01;9.647388e-01;1.338019e+00;-2.298961e+00;-1.982330e+00;-6.365577e+00;7.092209e-01
20;1.000000;6.839188e+00;-7.673882e+00;-2.998570e+00;-1.525609e+01;9.239813e+00;3.429973e+00;6.808547e+00;-6.415667e+00;1.178890e+00;6.065120e+00;5.262852e-03;-8.229530e-01;-1.010805e+01;1.766739e-01
21;1.050000;5.196535e+00;-6.120358e+00;-2.032235e+00;-1.437202e+01;9.931093e+00;7.285604e+00;7.503181e+00;-6.928531e+00;1.388005e+00;1.003293e+01;2.124550e+00;-7.342367e-01;-1.216159e+01;-6.676865e-01
22;1.100000;3.991558e+00;-3.107643e+00;-3.883667e+00;-9.129407e+00;8.769304e+00;1.087271e+01;6.137263e+00;-4.250465e+00;2.472836e+00;1.045735e+01;2.818568e+00;-1.320222e+00;-1.094464e+01;-4.769493e+00
23;1.150000;5.354314e+00;2.960252e+00;-4.576408e+00;-5.577580e+00;3.258951e+00;9.397499e+00;2.012030e+00;-6.102365e+00;-8.155221e+00;-8.914208e-01;4.958623e+00;3.257806e+00;-5.434545e+00;-7.290939e+00
24;1.200000;5.700386e+00;-3.228013e+00;7.994094e-01;-7.646798e+00;5.439776e+00;5.346220e+00;2.907701e-01;-7.048479e+00;-1.161567e+01;-1.376804e+00;5.710726e+00;5.645133e+00;-6.239819e+00;-1.817947e+00
25;1.250000;3.452140e+00;-7.516920e+00;3.624877e+00;-5.235225e+00;5.162652e+00;1.571851e+00;-2.727513e+00;-5.450840e+00;-1.022233e+01;-1.412320e+00;6.691517e+00;5.125746e+00;-4.066624e+00;1.385780e+00
26;1.300000;-1.153391e+00;-3.719753e+00;2.823795e+00;3.992756e+00;4.776688e-01;1.021717e+00;-5.792575e+00;-3.690328e+00;-5.824624e+00;-2.579278e+00;8.213367e+00;2.048254e+00;-1.475887e-01;2.601089e+00
27;1.350000;-4.005164e+00;3.052853e+00;3.078918e+00;1.069721e+01;-1.867290e+00;-2.589478e+00;-3.372705e+00;-1.401801e+00;1.214941e+00;-3.832119e+00;4.058902e+00;4.582821e-01;2.272872e+00;1.051498e+00
28;1.400000;-3.347673e+00;5.944924e+00;-1.990997e+00;1.086533e+01;-9.255924e-01;-3.299919e+00;-2.318861e+00;-2.038166e+00;7.231284e+00;-5.734019e-01;1.637369e+00;-3.085660e-01;3.619729e+00;-9.568939e-01
29;1.450000;-1.508007e-01;2.646893e+00;-2.100592e+00;8.905863e+00;-5.966396e-01;-8.275414e-01;-3.317212e+00;-7.976298e-01;7.924770e+00;-7.733862e-01;4.051958e+00;-8.413162e-01;2.685717e+00;-1.752014e+00
30;1.500000;4.627306e+00;-2.872210e-01;-1.122112e+00;4.413631e+00;2.368374e-01;3.546409e+00;-9.445033e-01;2.587368e+00;2.994924e+00;-3.138589e+00;1.093968e+00;-6.731284e-01;4.258638e+00;-5.189674e+00
31;1.550000;8.568670e+00;3.114657e-01;1.412525e+00;-1.552308e+00;-2.924267e+00;8.162683e+00;5.999530e+00;2.598157e+00;-4.026350e+00;1.885576e+00;-3.851511e+00;-1.828861e+00;2.114568e+00;-7.497627e+00
32;1.600000;9.281673e+00;4.104033e-01;2.833674e+00;-1.855078e+00;-3.926620e+00;8.075751e+00;9.234785e+00;5.262756e-02;-2.727829e+00;2.731944e+00;-3.440463e+00;-1.740106e-01;-9.404585e-01;-7.999733e+00
33;1.650000;6.001177e+00;2.737514e+00;7.996893e-01;-6.828990e+00;1.233473e+00;1.139439e+01;7.921079e+00;-5.468799e+00;-2.858229e+00;7.211432e-01;1.308811e-01;8.430466e+00;-1.567366e+00;-7.117989e+00
34;1.700000;-7.858686e-01;9.576270e+00;-5.299093e+00;-7.125638e+00;4.478259e+00;1.034667e+01;6.272431e+00;-1.034375e+01;-4.740713e+00;2.296537e+00;2.199806e+00;1.038434e+01;1.766722e+00;-2.982635e+00
