frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;5.927283e+00;8.420898e+00;2.638875e+00;-9.781701e+00;-8.023551e+00;-2.607696e+00;-1.553022e+01;5.527955e+00;-1.126231e+01;-4.660990e+00;9.559952e-01;-1.523467e+00;1.857484e+00;-4.898270e+00
1;0.050000;6.344671e-01;4.514632e+00;1.242973e+00;-2.459335e+00;-6.013476e+00;-1.319835e+01;-6.924183e+00;3.123142e+00;-1.309356e+01;-8.101736e+00;-7.180529e+00;-2.570412e+00;1.141333e+00;-3.476868e-01
2;0.100000;-1.998613e+00;-6.498766e-01;-1.988449e-01;2.850532e+00;-4.751474e+00;-1.239537e+01;-1.346273e-01;2.867012e-01;-8.530675e+00;-2.786651e+00;-1.149408e+01;-2.222317e+00;-1.292734e+00;3.304962e+00
3;0.150000;-1.683693e+00;-3.884872e+00;-1.128636e+00;4.072072e+00;-2.644948e+00;-1.022721e+01;6.810904e-01;7.836041e-01;-3.088881e+00;8.158915e-01;-8.152633e+00;-9.899431e-02;-2.428868e+00;4.432884e+00
4;0.200000;-1.737402e+00;-7.053926e+00;-3.447682e+00;5.729065e+00;1.026521e+00;-8.366800e+00;2.437679e+00;-1.145650e+00;3.365253e+00;-1.936960e+00;-3.455817e+00;-9.875718e-01;-2.884479e+00;1.983459e+00
5;0.250000;-2.617577e+00;-4.642784e+00;-6.356546e+00;1.310770e+01;2.055626e+00;-5.146612e+00;1.681337e+00;-4.096287e+00;5.958946e+00;-4.787219e+00;-3.974323e-01;-1.374720e+00;-4.980126e+00;-1.834038e+00
6;0.300000;-4.676273e+00;4.293044e+00;-4.688915e+00;1.291997e+01;-5.955177e+00;-7.646763e+00;3.661728e-01;-7.584107e+00;1.032554e+00;1.274066e+00;5.095542e+00;3.915364e+00;-1.317458e+00;-2.508377e+00
7;0.350000;-7.630770e+00;9.239915e+00;-2.014837e-01;1.028189e+01;-1.345278e+01;-1.042677e+01;2.822524e+00;-8.914303e+00;-4.205133e+00;-1.331215e-01;6.756139e+00;6.867807e+00;-3.399992e-01;-2.039482e+00
8;0.400000;-1.970140e+00;1.238208e+01;-2.821453e+00;1.622445e+01;-3.445429e+00;-3.913375e+00;5.761732e+00;-4.357557e+00;2.358822e+00;1.687580e+00;4.083005e+00;6.508049e+00;-1.076403e+00;1.794434e+00
9;0.450000;2.912269e+00;8.898087e+00;-7.928988e+00;1.785757e+01;5.617958e+00;1.404014e+00;5.006342e+00;-2.862544e-01;6.361599e+00;3.203197e+00;5.224217e+00;6.174044e+00;-1.920638e+00;4.200523e+00
10;0.500000;5.248087e+00;3.308627e+00;-6.017185e+00;1.219742e+01;9.540401e+00;5.001227e+00;4.717789e+00;1.437421e+00;8.961411e+00;1.285213e+00;6.850629e+00;4.384902e+00;-2.606172e+00;4.690605e+00
11;0.550000;5.365875e+00;1.207589e+00;-5.345304e+00;1.976858e+00;1.039412e+01;3.794728e+00;5.383780e+00;-1.432954e+00;1.339001e+01;-6.534204e+00;7.825657e+00;1.167361e+00;-3.338356e+00;2.833206e+00
12;0.600000;2.487388e+00;1.886899e+00;-4.019286e+00;-1.350627e+01;9.373883e+00;9.416735e+00;2.727935e+00;-2.638830e+00;1.098588e+01;-1.090498e+01;6.312097e+00;-8.999215e-01;-1.600107e+00;-6.828079e-01
13;0.650000;8.608541e-01;3.843727e-01;-1.041544e+00;-2.343928e+01;6.514543e+00;1.463800e+01;1.738052e-01;5.250440e-01;5.835545e+00;-6.261705e+00;6.195499e+00;-2.712162e+00;8.409395e-01;-3.118210e+00
14;0.700000;7.854071e-01;-5.054990e+00;-3.732886e+00;-2.383935e+01;3.313317e+00;9.349950e+00;-9.118201e+00;4.587401e+00;2.351258e+00;-2.339972e+00;7.082225e+00;-1.646988e+00;7.861440e+00;-4.141083e+00
15;0.750000;1.602397e+00;-7.104821e+00;-4.594882e+00;-1.783679e+01;2.521009e+00;7.875042e+00;-1.465520e+01;6.940216e+00;-4.380065e+00;1.804059e+00;2.799009e+00;8.406641e-01;1.229265e+01;-6.202248e+00
16;0.800000;5.446005e-01;-1.898558e+00;-4.553792e+00;-7.735021e+00;4.780477e+00;5.861850e-01;-1.157950e+01;-1.619861e+00;2.189670e+00;-1.718698e-01;-2.150583e+00;9.397474e-01;8.632600e+00;-7.697578e+00
17;0.850000;6.827240e-01;-1.459322e-01;-4.569402e+00;-7.215474e+00;8.391438e+00;-1.104716e+00;-1.195820e+01;-4.087119e+00;3.374740e+00;-5.835155e+00;-1.943063e+00;-1.333491e+00;5.345101e+00;-6.221344e+00
