frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;5.672409e+00;-5.100816e+00;1.963751e+00;-3.625698e+00;-7.427174e+00;8.015121e+00;1.921128e+00;-1.330552e+01;-1.187392e+00;-1.108075e+01;-6.576653e+00;-6.521976e+00;6.013158e+00;-3.211708e+00
1;0.050000;7.558597e+00;-4.191845e+00;-2.627944e+00;-7.058143e+00;-3.749121e+00;1.191849e+01;1.013756e+00;-5.579075e+00;5.664349e-02;-8.516915e+00;-9.135277e-01;-1.579478e+00;6.017324e+00;-1.743294e+00
2;0.100000;9.076306e+00;-4.682148e+00;-4.337449e+00;-6.901450e+00;-4.125916e+00;1.298756e+01;-1.706429e+00;-2.938097e+00;1.452570e-01;-7.265074e+00;2.103090e+00;-2.494277e+00;3.839419e+00;-1.991180e+00
3;0.150000;6.774879e+00;-5.734130e+00;1.028692e+00;-2.243770e+00;-5.908768e+00;8.121393e+00;-1.715002e-01;-1.992546e+00;-1.914261e+00;-3.405776e+00;1.575488e+00;-3.599167e+00;3.385508e+00;-5.070038e-01
4;0.200000;2.587851e+00;-4.090322e+00;6.579726e+00;6.495819e-01;-9.517757e+00;3.790705e+00;-3.483974e+00;-1.642408e+00;-2.127838e+00;-1.434340e+00;-3.969116e-01;-4.229957e+00;2.957254e+00;1.449715e+00
5;0.250000;-1.159260e+00;5.286747e-01;7.041894e+00;2.195518e+00;-1.076795e+01;1.879463e+00;-1.075200e+00;-3.529165e+00;-1.138316e+00;-2.840261e+00;-1.584957e+00;-4.902140e+00;1.511915e+00;1.576614e+00
6;0.300000;-4.483536e+00;6.992811e+00;7.499961e+00;7.538614e+00;-4.905413e+00;1.998898e+00;3.595410e+00;-2.582138e+00;1.972498e+00;-4.685052e+00;-3.862748e+00;9.124660e-01;4.090486e+00;4.214249e-01
7;0.350000;-3.261762e+00;7.625664e+00;4.985470e+00;6.685291e+00;-3.170988e+00;-1.146771e+00;1.718330e-01;-2.235851e+00;4.785498e+00;-5.282973e+00;-6.589758e+00;3.627758e+00;7.014113e+00;4.980392e-01
8;0.400000;6.237469e-01;2.078156e+00;2.087658e+00;5.607169e+00;-4.338266e+00;-6.069983e+00;-2.737479e+00;-6.314354e-01;4.473152e+00;-4.065028e+00;-7.291524e+00;1.383263e+00;8.374326e+00;6.902847e-01
9;0.450000;1.872771e+00;-2.807990e+00;6.496677e-01;5.297720e+00;-3.384809e+00;-7.917964e+00;-4.261217e+00;2.016929e+00;3.304854e+00;-1.935807e+00;-4.970621e+00;-8.775177e-01;8.568359e+00;6.574707e-01
10;0.500000;2.940096e+00;-3.671262e+00;1.694893e+00;6.043081e+00;-2.326012e-02;-5.326371e+00;-3.625086e+00;4.120010e+00;4.629723e+00;7.321322e-02;-2.931230e+00;2.457705e-01;9.036187e+00;-1.589539e+00
11;0.550000;4.899057e+00;-1.955396e+00;4.270614e+00;2.923365e+00;6.438872e+00;1.020582e+00;6.526365e-01;6.064282e+00;9.627073e+00;1.870584e+00;7.107234e-02;6.977814e+00;6.916854e+00;-5.674797e+00
12;0.600000;4.599177e+00;-4.143922e+00;-3.485367e+00;-3.412815e+00;6.342145e+00;3.222780e+00;-1.254037e+00;1.315924e+00;1.131805e+01;9.909832e+00;4.047075e+00;3.634302e+00;4.772573e+00;-3.169693e+00
13;0.650000;2.035297e+00;-8.850246e+00;-7.496482e+00;-9.013252e-01;2.070511e+00;-3.983060e+00;-1.845854e+00;3.656569e+00;5.053747e+00;1.362655e+01;3.594828e+00;-8.329773e-02;6.969707e+00;2.395172e-01
14;0.700000;-1.835535e+00;-9.034703e+00;-3.633556e+00;2.003147e+00;-2.177946e+00;-8.562997e+00;-7.275305e-01;2.205774e+00;3.407804e+00;1.204510e+01;1.763593e+00;3.541651e-01;2.710998e+00;2.644226e+00
15;0.750000;-4.577387e+00;-6.342089e-02;3.539972e+00;8.228539e+00;-4.123344e+00;-8.249282e+00;5.510325e+00;1.557425e+00;6.051211e+00;9.047113e+00;-1.155569e+00;1.782624e+00;-2.575686e+00;4.515450e+00
16;0.800000;-7.821846e+00;9.467405e+00;6.566693e+00;1.144740e+01;-4.174833e+00;-5.185866e+00;1.226839e+01;9.530582e-01;4.461190e+00;3.848081e+00;-1.768929e+00;2.264818e+00;-4.937700e+00;4.017830e+00
17;0.850000;-8.823753e+00;1.083685e+01;3.819377e+00;1.171428e+01;-3.201973e+00;-6.706859e+00;1.004529e+01;1.442308e+00;2.889909e+00;-2.098826e+00;-1.008513e+00;5.196813e+00;-4.116772e+00;3.395569e+00
18;0.900000;-5.933261e+00;7.040616e+00;3.549585e+00;8.283686e+00;-5.211245e+00;-6.842294e+00;3.719548e+00;9.704647e-01;3.845453e+00;-3.314368e+00;1.974116e+00;8.020430e+00;-1.562916e+00;4.198006e+00
19;0.950000;-2.751851e+00;1.870441e+00;7.996768e+00;2.005685e+00;-7.081463e+00;-6.134278e+00;-3.544369e+00;-2.157478e-01;-1.406054e+00;-7.239592e+00;3.082672e+00;5.515731e+00;-2.646791e+00;2.880814e+00
20;1.000000;-1.740989e+00;7.380363e-01;1.315888e+01;2.592504e+00;-8.328209e+00;-1.105880e+00;-3.516733e+00;-9.678135e-01;-6.918204e+00;-5.389716e+00;-4.980897e-01;2.493810e+00;-5.939166e+00;1.393608e+00
21;1.050000;-1.819613e+00;1.548595e+00;1.457754e+01;1.007708e+01;-2.687283e+00;3.037963e+00;4.307294e+00;7.396164e-01;-1.974312e+00;1.877108e+00;-3.447545e+00;1.950079e+00;-5.193294e+00;2.080460e-01
22;1.100000;-9.535313e-01;-4.582252e+00;3.136253e+00;7.685249e+00;4.617677e+00;-1.569152e+00;2.250732e+00;8.589787e+00;-7.846308e-02;6.664692e+00;-4.756260e+00;-5.944958e-01;-1.854398e+00;1.176971e+00
23;1.150000;-4.269876e-01;-8.836893e+00;-3.766871e+00;8.956909e-02;3.841972e+00;-5.694474e+00;-4.742638e+00;1.311131e+01;-8.928480e-01;4.385127e+00;1.961503e+00;-2.554099e+00;-8.560944e-02;3.292847e+00
24;1.200000;2.247903e+00;-9.399888e+00;-3.446817e+00;-1.302133e+00;5.200028e+00;-3.964284e+00;-6.268606e+00;1.181339e+01;-7.331209e-01;1.925686e+00;6.984513e+00;-6.896080e+00;-5.855212e-01;3.435905e+00
25;1.250000;4.162158e+00;-9.753620e+00;5.503340e-01;-2.379950e+00;5.425943e+00;-1.607799e+00;-6.461403e+00;4.409547e+00;7.762113e-01;-4.127363e+00;8.088850e+00;-9.894657e+00;-4.985053e+00;1.521065e+00
26;1.300000;3.921156e+00;-7.218872e+00;9.446268e+00;1.862315e+00;6.305538e+00;3.201018e+00;-3.638666e+00;4.958029e+00;2.868196e+00;-5.741367e+00;5.094225e+00;-5.688993e+00;-1.126775e+01;5.128021e-01
27;1.350000;3.741593e+00;-5.952097e+00;1.289479e+01;2.465023e+00;6.124162e+00;4.944439e-01;-4.392324e+00;7.211689e+00;-3.023068e+00;-7.015235e+00;3.375599e+00;-4.663054e+00;-1.152833e+01;3.273773e-01
