frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-9.479980e+00;1.077879e+01;-2.134278e+01;1.440849e-01;-5.459204e-01;3.251895e+00;9.885152e+00;-3.885935e+00;2.208150e+00;3.425727e+00;-1.633155e+00;-2.470483e+00;-5.155203e+00;3.691284e+00
1;0.050000;-5.219851e+00;5.832052e+00;-1.881742e+01;-3.499884e+00;-1.866159e-01;7.861975e+00;7.074358e+00;4.728341e-02;-4.253064e-01;2.528933e+00;1.172406e+00;-4.919821e+00;-3.585336e+00;6.798615e+00
2;0.100000;-1.199479e+00;2.559972e-01;-1.388173e+01;-8.649719e+00;1.427539e+00;9.889850e+00;5.256989e+00;4.820442e+00;-5.128119e+00;2.862894e+00;2.268747e+00;-6.168999e+00;-1.643166e+00;5.753738e+00
3;0.150000;3.742727e+00;-5.889061e+00;-7.518798e+00;-1.604670e+01;6.145194e+00;7.758341e+00;6.103601e+00;6.157591e+00;-8.995010e+00;4.608262e+00;1.028973e-01;-3.903775e+00;-1.146304e+00;3.294014e+00
4;0.200000;4.330549e+00;-7.247866e+00;-5.264331e+00;-1.647397e+01;7.022804e+00;4.509470e+00;4.061771e+00;2.461729e+00;-7.280866e+00;6.070744e+00;-2.756631e+00;-2.429156e+00;-1.608747e+00;3.019669e+00
5;0.250000;4.896078e+00;-6.065436e+00;-3.918929e+00;-1.328537e+01;5.155489e+00;3.429599e-01;5.876255e-02;-2.271774e-01;-5.405659e+00;6.283978e+00;-4.894004e+00;-9.139299e-01;-4.559257e-01;1.988968e+00
6;0.300000;4.322823e+00;-3.834171e+00;2.281764e+00;-6.710957e+00;1.548435e+00;-7.045344e+00;-5.290354e+00;-2.036418e+00;-5.550712e-01;4.244146e+00;-5.236979e+00;1.613989e+00;4.833539e+00;1.228928e+00
7;0.350000;2.716990e-01;1.436656e+00;6.327114e+00;1.423773e+00;-3.236496e+00;-7.638050e+00;-9.837989e+00;-1.333486e+00;1.855833e+00;6.085973e-01;-1.256374e+00;1.008314e+00;9.799723e+00;1.598373e+00
8;0.400000;-4.826011e+00;7.875496e+00;5.449289e+00;5.842541e+00;-5.814661e+00;-2.085481e+00;-8.421409e+00;-1.788784e+00;5.938434e+00;-4.041217e+00;2.927482e-01;2.625715e+00;7.018834e+00;1.094452e+00
9;0.450000;-9.026845e+00;1.191688e+01;7.438894e+00;7.487932e+00;-5.178457e+00;3.124163e+00;-5.173379e+00;-4.609903e+00;7.031449e+00;-5.778099e+00;1.136539e+00;4.981771e+00;3.072049e+00;-9.319534e-01
